#{"t_start": 1772760578.323005, "env_id": "None"}
r,l,t
80.720677,100,9.708586
82.016092,100,18.618512
79.106504,100,27.044972
80.863858,100,35.491353
79.516559,100,44.301221
79.572423,100,52.790051
80.490364,100,61.249946
79.27382,100,69.738866
78.894354,100,78.437935
80.690662,100,86.878331
80.391355,100,98.968145
80.227952,100,107.405519
80.681137,100,115.856675
79.072386,100,124.338505
80.055616,100,132.790803
80.740574,100,141.268396
81.252481,100,149.744787
81.147415,100,158.562253
80.14134,100,167.369453
79.540283,100,175.8306
79.427412,100,187.908231
80.004711,100,196.648531
79.741584,100,205.550064
80.37989,100,214.02389
80.063127,100,222.511126
80.771614,100,231.529133
79.121458,100,240.374771
78.556125,100,248.835232
79.784354,100,257.301182
79.880307,100,265.770279
81.060752,100,277.719357
81.56078,100,286.169102
81.276026,100,294.739738
80.119449,100,303.245062
79.174023,100,311.715429
80.377193,100,320.126498
81.601307,100,328.604529
80.72497,100,337.088879
78.917796,100,345.578957
79.804711,100,354.155844
79.685282,100,366.04289
80.259356,100,374.516979
79.865148,100,382.97207
80.103387,100,391.420304
79.234235,100,399.917633
79.769807,100,408.406514
80.350182,100,416.961844
81.309268,100,425.431254
79.870416,100,433.937901
80.061922,100,442.413084
79.419737,100,451.011744
80.342759,100,462.957914
79.693893,100,471.444756
80.549258,100,479.986584
78.61833,100,488.458246
79.009716,100,496.954072
81.417879,100,505.390849
78.510218,100,513.878638
78.900088,100,522.343559
79.973215,100,530.804913
79.913582,100,539.307328
80.08967,100,551.380682
79.662725,100,559.84937
79.7127,100,568.355627
81.094479,100,576.785465
78.883382,100,585.265722
80.152811,100,593.73955
79.741047,100,602.268557
80.915964,100,610.711536
79.830842,100,619.157509
78.89245,100,627.613258
79.919009,100,639.500285
80.878383,100,647.957203
79.743111,100,656.397835
79.174169,100,664.975569
78.195177,100,673.47125
79.838948,100,682.011816
78.955978,100,690.461007
80.901223,100,698.948856
80.607699,100,707.41423
81.513666,100,715.879177
79.837391,100,727.967562
78.922097,100,736.44488
81.025426,100,744.924169
80.341549,100,753.368655
79.015584,100,761.846092
80.933875,100,770.287648
79.312619,100,778.780704
81.162705,100,787.243573
81.31974,100,795.808909
80.392274,100,804.237051
80.869125,100,812.755388
79.934205,100,824.778849
80.53015,100,833.432722
81.37019,100,842.226119
80.433418,100,851.172923
80.585848,100,860.176265
80.470265,100,868.927296
79.985935,100,877.576257
80.959208,100,886.337781
81.023985,100,895.021157
80.219137,100,903.609826
79.881741,100,915.675822
80.522871,100,924.272745
81.091311,100,932.845236
80.75934,100,941.818073
79.486036,100,951.241486
78.744701,100,960.576034
79.614506,100,969.448296
78.280522,100,978.279296
78.762937,100,987.387161
79.914114,100,996.672291
80.002361,100,1009.479459
80.161613,100,1018.60331
80.546443,100,1027.90977
82.048594,100,1037.221275
80.045562,100,1046.110662
79.838835,100,1055.134329
81.785842,100,1064.034271
79.640644,100,1073.216471
79.960482,100,1082.400554
80.622251,100,1091.672155
80.756777,100,1103.92735
79.743929,100,1112.473753
80.106871,100,1121.100534
79.360548,100,1129.602453
80.128351,100,1138.242749
80.896974,100,1146.976952
82.139602,100,1155.773778
82.158086,100,1164.771311
79.778515,100,1173.8701
79.353462,100,1182.828147
80.976537,100,1192.093772
80.579034,100,1206.036907
80.53986,100,1214.794076
81.404143,100,1223.553507
78.731932,100,1232.043108
80.130812,100,1240.517465
80.835831,100,1249.530978
79.578067,100,1258.091946
79.697154,100,1266.563276
79.946922,100,1275.06404
80.26519,100,1283.687603
80.866324,100,1296.269148
79.044377,100,1305.008262
81.533385,100,1313.728822
81.250666,100,1322.450833
80.618395,100,1331.573379
80.348314,100,1340.719733
81.271785,100,1349.991801
80.606419,100,1358.828739
78.869028,100,1367.364781
80.048239,100,1375.836301
78.364227,100,1387.849344
80.045611,100,1396.367534
81.013641,100,1404.907282
80.538581,100,1413.365766
79.357462,100,1421.992036
77.672041,100,1430.520058
82.696473,100,1439.094772
81.207288,100,1447.596928
79.750917,100,1456.042333
81.473795,100,1464.469119
81.485951,100,1476.495806
79.807007,100,1484.945153
80.960051,100,1493.394159
80.88733,100,1501.940851
79.925862,100,1510.437765
78.961305,100,1518.933602
79.557543,100,1527.399896
79.132738,100,1535.891465
79.298366,100,1544.330849
78.356727,100,1552.753466
80.202762,100,1561.183259
80.986703,100,1573.23138
81.030962,100,1581.704053
80.342217,100,1590.127488
80.653137,100,1598.601345
82.150032,100,1607.05779
78.987008,100,1615.539093
78.392028,100,1624.006785
82.133754,100,1632.499915
80.844044,100,1640.936235
