#{"t_start": 1772760578.3220248, "env_id": "None"}
r,l,t
79.806249,100,9.712844
80.310392,100,18.6213
79.248157,100,27.045875
80.527164,100,35.492501
79.865631,100,44.302996
80.378032,100,52.791581
80.075962,100,61.25103
79.3326,100,69.740476
81.6405,100,78.438055
80.14089,100,86.877086
78.541084,100,98.967574
80.373859,100,107.40578
80.415848,100,115.86042
80.637208,100,124.338287
79.072528,100,132.79519
79.667967,100,141.272982
82.441946,100,149.746895
79.274437,100,158.562644
81.749942,100,167.370016
80.337423,100,175.833352
78.678742,100,187.907086
81.089168,100,196.649663
81.76612,100,205.552879
79.974183,100,214.024393
77.973834,100,222.513352
81.943634,100,231.528474
79.61505,100,240.37719
80.590241,100,248.834378
79.436839,100,257.301225
80.172759,100,265.770337
80.946407,100,277.720582
79.969848,100,286.168824
80.093307,100,294.74283
81.463085,100,303.246483
79.304072,100,311.715439
80.642858,100,320.128919
79.395025,100,328.608474
80.046521,100,337.088154
80.540414,100,345.578078
81.223607,100,354.156498
80.316234,100,366.041505
79.313087,100,374.51481
79.107533,100,382.971198
78.695847,100,391.418667
80.086307,100,399.918586
81.579739,100,408.407792
80.217032,100,416.96373
80.262125,100,425.433443
80.088302,100,433.936048
80.281691,100,442.413057
79.501194,100,451.012989
78.73208,100,462.956946
79.876085,100,471.445555
79.469747,100,479.986799
78.860167,100,488.45833
79.482638,100,496.953305
79.128851,100,505.391552
79.34984,100,513.881306
78.510236,100,522.346236
79.837923,100,530.807738
81.15472,100,539.30837
79.39788,100,551.381185
80.76099,100,559.850354
79.699115,100,568.356758
79.773026,100,576.786905
79.64593,100,585.267399
78.813026,100,593.742382
80.66211,100,602.268382
81.16931,100,610.714142
79.813485,100,619.16005
81.448048,100,627.613111
80.659658,100,639.501266
79.922359,100,647.958482
79.608598,100,656.398963
81.779451,100,664.975418
79.378876,100,673.472409
80.764533,100,682.013313
80.665863,100,690.460478
80.061553,100,698.949426
79.679937,100,707.41619
80.429345,100,715.883807
78.183705,100,727.968207
81.146895,100,736.444416
80.247951,100,744.923358
80.299314,100,753.371022
79.804105,100,761.848106
80.809921,100,770.288787
79.212566,100,778.782476
79.337578,100,787.243778
79.538254,100,795.808959
80.663746,100,804.240619
79.408984,100,812.756444
79.436918,100,824.779904
79.495243,100,833.430076
79.711379,100,842.228939
79.722033,100,851.170307
79.636423,100,860.17779
79.965444,100,868.927185
81.819355,100,877.575772
80.707159,100,886.341032
80.896597,100,895.0204
81.279432,100,903.608568
80.033916,100,915.677551
78.373874,100,924.272917
78.57761,100,932.846979
79.100885,100,941.819153
79.783956,100,951.241452
80.751238,100,960.576296
80.922289,100,969.447713
79.496655,100,978.281569
80.290542,100,987.38501
79.468882,100,996.672696
81.87191,100,1009.47777
79.680976,100,1018.60429
79.59911,100,1027.91011
78.93553,100,1037.222187
80.795382,100,1046.11156
80.04262,100,1055.137073
79.945136,100,1064.038234
82.660595,100,1073.218465
80.116153,100,1082.404649
78.066968,100,1091.673434
80.288063,100,1103.929283
79.512198,100,1112.474108
79.754164,100,1121.101152
79.489774,100,1129.60186
80.049995,100,1138.244184
79.780174,100,1146.977952
80.164099,100,1155.775023
79.988521,100,1164.774391
81.502683,100,1173.87205
80.452637,100,1182.830946
78.520703,100,1192.093759
79.682581,100,1206.039582
79.205893,100,1214.794881
79.59342,100,1223.553768
81.085229,100,1232.044087
79.873669,100,1240.516493
81.31611,100,1249.529295
78.599136,100,1258.093031
80.652599,100,1266.56512
80.272082,100,1275.065107
78.86739,100,1283.690556
81.332777,100,1296.269156
79.669008,100,1305.011212
79.239907,100,1313.730675
79.604465,100,1322.454298
81.074747,100,1331.574498
80.310672,100,1340.718361
78.301037,100,1349.994256
80.704981,100,1358.829919
78.981841,100,1367.364307
81.373374,100,1375.83706
79.473065,100,1387.851105
80.271785,100,1396.368562
79.306609,100,1404.909785
79.742147,100,1413.367534
80.334013,100,1421.993401
80.368205,100,1430.521766
81.459826,100,1439.094942
80.42326,100,1447.599845
82.325176,100,1456.042203
