#{"t_start": 1772760578.3201268, "env_id": "None"}
r,l,t
80.49617,100,9.715283
80.773122,100,18.622347
79.512887,100,27.047365
79.993301,100,35.492604
81.430448,100,44.304574
80.003602,100,52.791578
80.988743,100,61.251872
80.789041,100,69.744073
80.848198,100,78.440903
81.911915,100,86.881124
79.364824,100,98.970159
80.352517,100,107.408327
81.833112,100,115.861256
79.79585,100,124.33933
78.131508,100,132.799224
79.958915,100,141.274683
80.722993,100,149.748476
79.749986,100,158.564734
80.55755,100,167.372631
79.220474,100,175.834367
81.776506,100,187.907267
81.75944,100,196.6493
79.724569,100,205.553005
80.944693,100,214.027442
80.885732,100,222.515714
80.498692,100,231.532401
80.159049,100,240.377915
79.273863,100,248.837837
79.325361,100,257.305275
80.294709,100,265.771022
79.972075,100,277.722726
80.598721,100,286.169556
79.828039,100,294.745387
80.448577,100,303.249043
80.820447,100,311.717586
79.172963,100,320.130352
79.892676,100,328.608793
80.013267,100,337.091617
82.07305,100,345.579795
81.298817,100,354.155615
80.859392,100,366.044041
82.066737,100,374.517882
81.210908,100,382.974354
79.744704,100,391.417341
79.247465,100,399.920511
81.141303,100,408.407967
81.192521,100,416.964056
80.502138,100,425.431781
78.928802,100,433.940023
80.108857,100,442.41561
80.889769,100,451.013144
80.086387,100,462.960873
78.505425,100,471.446768
79.140005,100,479.988146
79.94753,100,488.459195
79.048282,100,496.956348
80.717419,100,505.393899
79.685462,100,513.881119
79.668866,100,522.348111
80.007525,100,530.80935
78.890867,100,539.309173
80.623122,100,551.383881
80.123818,100,559.854614
80.819467,100,568.359304
78.630799,100,576.789894
80.057764,100,585.269164
80.119938,100,593.742619
81.303418,100,602.269679
79.160881,100,610.715935
79.584243,100,619.159191
79.546207,100,627.617898
80.255238,100,639.503208
79.990693,100,647.960768
79.157244,100,656.402803
80.694321,100,664.975814
81.396873,100,673.474532
80.474019,100,682.014112
80.599699,100,690.461843
79.433003,100,698.950988
79.148444,100,707.417753
79.785511,100,715.884653
80.083546,100,727.967953
79.88834,100,736.448959
81.263848,100,744.924621
80.128491,100,753.372882
78.778286,100,761.848196
79.698878,100,770.290381
80.632886,100,778.782448
79.522424,100,787.245456
80.698413,100,795.811985
79.071253,100,804.242441
80.447632,100,812.759084
80.447508,100,824.781442
79.742029,100,833.434447
80.026508,100,842.230183
81.008941,100,851.174623
79.027598,100,860.179135
81.148795,100,868.931149
79.151911,100,877.579293
79.916879,100,886.341617
80.396558,100,895.022951
81.707449,100,903.611185
80.710087,100,915.680325
81.163036,100,924.276244
81.367896,100,932.850851
79.096037,100,941.821169
81.0097,100,951.243882
78.863319,100,960.579809
79.804966,100,969.452612
78.150311,100,978.280662
80.36192,100,987.389071
80.103347,100,996.673585
79.912986,100,1009.478833
79.19157,100,1018.607363
79.783507,100,1027.908296
80.31244,100,1037.226956
79.828326,100,1046.11262
80.437176,100,1055.138757
80.546879,100,1064.037435
79.507231,100,1073.220044
80.230338,100,1082.405176
80.799477,100,1091.676631
79.563716,100,1103.930215
81.994024,100,1112.476536
79.629433,100,1121.103482
79.643833,100,1129.604904
80.849802,100,1138.245562
79.620268,100,1146.977809
79.385882,100,1155.777266
79.087555,100,1164.775551
81.567077,100,1173.873969
79.760106,100,1182.830648
79.996179,100,1192.095483
80.182553,100,1206.042254
80.747976,100,1214.795588
77.831942,100,1223.556244
80.242592,100,1232.046536
79.900565,100,1240.519119
79.656856,100,1249.531919
80.769819,100,1258.094296
81.345703,100,1266.56605
79.343212,100,1275.066262
81.093618,100,1283.686907
79.323689,100,1296.271466
79.965834,100,1305.013837
79.057956,100,1313.731778
80.635939,100,1322.454466
81.015101,100,1331.576476
81.262362,100,1340.718962
79.265705,100,1349.994545
79.36233,100,1358.833052
80.504026,100,1367.365963
81.311809,100,1375.839353
79.478292,100,1387.852463
79.959389,100,1396.369068
79.822871,100,1404.910959
79.580436,100,1413.370201
80.141747,100,1421.993341
79.54621,100,1430.521203
81.643936,100,1439.095441
79.68062,100,1447.601578
80.266809,100,1456.046038
80.334074,100,1464.472389
80.4984,100,1476.496072
79.752699,100,1484.948027
79.616986,100,1493.394691
79.474491,100,1501.94348
81.88851,100,1510.43837
79.198887,100,1518.934774
80.426041,100,1527.403579
81.312688,100,1535.894553
80.985274,100,1544.333795
79.768178,100,1552.75634
80.165794,100,1561.184421
78.151986,100,1573.232287
79.67231,100,1581.709406
80.718365,100,1590.129916
79.645758,100,1598.607228
81.365105,100,1607.062607
79.625494,100,1615.542943
80.621369,100,1624.00887
81.382356,100,1632.50195
79.368895,100,1640.939618
79.752386,100,1649.348916
79.174888,100,1661.226725
79.357093,100,1669.75699
80.365702,100,1678.254824
79.331945,100,1686.76302
81.286214,100,1695.327879
80.95278,100,1703.793247
79.774413,100,1712.252366
78.70638,100,1720.689074
81.046473,100,1729.155573
80.930991,100,1737.645686
79.682481,100,1749.635551
80.219665,100,1758.075852
80.90461,100,1766.51528
79.441923,100,1774.987965
79.828038,100,1783.445793
80.285838,100,1791.897886
82.001145,100,1800.364472
78.807797,100,1808.844882
80.687152,100,1817.394054
78.455076,100,1825.867194
80.018155,100,1837.795553
79.16655,100,1846.233073
81.351287,100,1854.683206
80.166048,100,1863.191296
77.841477,100,1871.733184
80.548098,100,1880.430841
80.071435,100,1888.919631
79.712436,100,1897.368267
79.598502,100,1905.836927
79.632896,100,1914.277999
80.859374,100,1922.736217
79.648142,100,1934.711085
79.292964,100,1943.257581
80.486661,100,1951.715555
81.234973,100,1960.173207
79.43338,100,1968.640546
81.092919,100,1977.125275
80.141017,100,1985.597604
79.829836,100,1994.051806
80.934029,100,2002.62815
80.462336,100,2011.11358
79.066784,100,2023.059625
79.715201,100,2031.521543
81.157617,100,2040.003704
79.654394,100,2048.485485
80.089886,100,2056.955072
79.706457,100,2065.542959
80.572837,100,2074.071177
79.728179,100,2082.542413
80.356788,100,2091.037755
82.342287,100,2099.497508
78.958407,100,2111.501017
79.601509,100,2119.974813
79.717227,100,2128.575189
78.719368,100,2137.031022
80.468984,100,2145.502112
80.787333,100,2153.987703
79.988288,100,2162.473513
80.419759,100,2170.946169
79.945574,100,2179.398973
79.66404,100,2187.850069
79.476615,100,2199.806765
80.593161,100,2208.267216
79.625988,100,2216.724297
80.503374,100,2225.202631
80.083245,100,2233.66351
80.115568,100,2242.134597
80.051467,100,2250.710871
81.459912,100,2259.153122
80.242351,100,2267.638062
81.286043,100,2276.112987
80.855697,100,2284.562658
81.298517,100,2296.493031
80.098459,100,2304.959895
82.077837,100,2313.520147
80.573223,100,2321.9954
81.356537,100,2330.430386
78.241726,100,2338.900178
81.391813,100,2347.425892
79.559975,100,2355.902084
79.60338,100,2364.374612
80.699372,100,2372.905259
80.088043,100,2384.94721
79.852482,100,2393.445735
79.977964,100,2401.922094
79.998023,100,2410.452274
80.63808,100,2418.938781
80.528287,100,2427.41151
80.348902,100,2435.883405
81.396828,100,2444.4437
80.074086,100,2452.935659
78.638838,100,2461.386207
79.905182,100,2473.370418
81.351173,100,2481.839621
79.509021,100,2490.325409
79.886562,100,2498.823885
81.846878,100,2507.409953
81.034278,100,2515.9342
79.583947,100,2524.40885
80.128379,100,2532.889742
79.359136,100,2541.345468
80.810812,100,2549.818413
80.735712,100,2561.761834
80.349336,100,2570.341737
79.050811,100,2578.830516
79.512632,100,2587.3181
81.191299,100,2595.799696
82.190295,100,2604.249778
78.653883,100,2612.724231
80.327065,100,2621.207047
80.157659,100,2629.728773
80.003392,100,2638.222369
81.703142,100,2650.144664
79.892213,100,2658.588161
79.98343,100,2667.078124
80.339459,100,2675.540779
81.682669,100,2684.040478
81.223178,100,2692.618331
79.586842,100,2701.05304
79.164542,100,2709.556998
80.058441,100,2718.012731
80.269895,100,2726.489426
79.085097,100,2734.967136
79.002442,100,2746.861151
80.621321,100,2755.428903
80.09384,100,2763.883657
81.35923,100,2772.399937
78.856743,100,2780.927464
78.974195,100,2789.404438
79.29433,100,2797.894066
81.831946,100,2806.382393
78.347824,100,2814.949573
79.790628,100,2823.445811
81.579935,100,2835.325568
79.685958,100,2843.825927
79.696606,100,2852.308004
78.443618,100,2860.786591
80.913841,100,2869.289109
77.737806,100,2877.858634
78.36386,100,2886.381243
79.207567,100,2894.832672
78.542894,100,2903.295382
78.999641,100,2911.740828
79.726508,100,2923.686578
78.667881,100,2932.136392
79.423766,100,2940.734635
80.365514,100,2949.239643
78.756476,100,2957.692465
78.711319,100,2966.141249
