#{"t_start": 1772769487.4540894, "env_id": "None"}
r,l,t
78.236772,100,8.418863
78.928361,100,16.805725
79.78093,100,25.276469
79.938918,100,33.714037
81.176564,100,42.150212
79.660515,100,50.61847
79.91337,100,59.208575
81.267169,100,67.697263
79.167072,100,76.180283
79.350835,100,84.680811
81.133589,100,96.565814
78.441312,100,105.025785
81.262065,100,113.465404
80.270131,100,122.060713
80.469087,100,130.53563
80.156844,100,139.0136
79.925089,100,147.491056
79.581418,100,155.974784
80.629234,100,164.445429
79.221468,100,172.950519
79.393563,100,184.974915
80.456679,100,193.464496
81.004005,100,201.93874
79.612198,100,210.43278
81.506324,100,218.891333
79.904179,100,227.390491
80.414996,100,235.84961
79.821754,100,244.438124
80.496747,100,252.937245
80.05829,100,261.440995
79.327163,100,273.363738
79.16303,100,281.845158
79.611172,100,290.320778
79.307546,100,298.825999
79.563088,100,307.413134
79.243927,100,315.885082
81.696001,100,324.362283
80.607445,100,332.836145
79.592538,100,341.305948
79.827258,100,349.804012
81.440913,100,361.725798
81.225246,100,370.299767
78.659286,100,378.79573
81.722356,100,387.299741
79.375243,100,395.802139
78.69787,100,404.325961
79.869926,100,412.815384
80.567813,100,421.31703
80.442899,100,429.802779
79.552874,100,438.393423
81.199627,100,446.890087
78.530779,100,458.831069
79.577,100,467.293446
80.303471,100,475.770955
80.514347,100,484.227967
79.920964,100,492.712046
80.341232,100,501.270028
81.260863,100,509.749692
79.993689,100,518.21723
79.092865,100,526.677506
80.931334,100,535.215513
79.775725,100,547.201179
80.739075,100,555.758051
81.498469,100,564.243295
78.678813,100,572.785854
79.06895,100,581.261655
81.258527,100,589.735885
79.393582,100,598.227036
80.399837,100,606.699744
79.983327,100,615.216633
79.139639,100,623.781145
79.950508,100,635.706218
80.102459,100,644.192977
81.20798,100,652.674612
79.990798,100,661.155034
80.899084,100,669.628722
80.260411,100,678.131096
79.501211,100,686.700062
80.7546,100,695.167373
81.203234,100,703.658207
80.601882,100,712.163444
79.893724,100,724.087463
80.223964,100,732.598846
78.809972,100,741.088133
79.625961,100,749.687687
80.592214,100,758.201118
80.203078,100,766.702812
80.010278,100,775.217942
80.080516,100,783.698597
79.70695,100,792.185068
79.237402,100,800.697944
80.99625,100,809.27931
78.841041,100,821.248158
80.226692,100,829.750299
79.663253,100,838.235549
81.540215,100,846.702815
79.631917,100,855.239502
79.739104,100,863.743114
79.331076,100,872.319324
79.403068,100,880.794854
79.419307,100,889.31623
79.815174,100,897.834419
79.579891,100,909.751595
79.676368,100,918.223979
80.464138,100,926.699092
80.377616,100,935.258434
80.699026,100,943.757856
79.243718,100,952.286733
81.427151,100,960.772496
81.658821,100,969.319028
80.029884,100,977.787525
79.779027,100,986.267102
80.356321,100,998.318934
78.424537,100,1006.781717
80.451107,100,1015.283746
79.319322,100,1023.785661
79.628805,100,1032.278328
80.293206,100,1040.730989
80.293813,100,1049.234343
79.72384,100,1057.756266
78.901151,100,1066.351607
80.141893,100,1074.835489
80.309986,100,1086.706093
80.662018,100,1095.204372
81.029873,100,1103.699123
81.450464,100,1112.175082
81.575468,100,1120.765738
81.1163,100,1129.233046
80.273984,100,1137.712593
79.907025,100,1146.212259
79.951419,100,1154.707747
79.034229,100,1163.192996
80.687153,100,1171.711806
81.326234,100,1183.737335
81.394905,100,1192.219735
79.75368,100,1200.745942
80.825659,100,1209.208914
78.530134,100,1217.745149
78.64985,100,1226.275187
79.889173,100,1234.768418
79.980082,100,1243.273361
80.448616,100,1251.857792
79.159907,100,1260.37122
81.181936,100,1272.37973
80.73151,100,1280.870329
80.012421,100,1289.343059
79.764959,100,1297.853351
79.827802,100,1306.346618
80.532669,100,1314.92115
79.62932,100,1323.444605
79.12649,100,1331.971571
80.507827,100,1340.448084
78.810091,100,1348.910429
80.798569,100,1360.860275
78.71814,100,1369.358322
80.22503,100,1377.961609
80.635353,100,1386.483509
81.202019,100,1394.998663
79.113324,100,1403.493812
79.225482,100,1411.994968
81.588909,100,1420.500344
81.848304,100,1429.005636
78.392581,100,1437.629902
79.333126,100,1449.64728
79.480085,100,1458.187588
80.108214,100,1466.721095
79.875876,100,1475.245623
80.727445,100,1483.750491
81.905231,100,1492.252938
81.534261,100,1500.858555
81.822691,100,1509.328655
79.497046,100,1517.835757
83.513077,100,1526.337384
80.881373,100,1534.804331
79.025434,100,1546.762989
80.547007,100,1555.286324
80.408927,100,1563.919426
80.185506,100,1572.417044
80.16816,100,1580.890469
79.43242,100,1589.393802
80.6501,100,1597.917223
79.368347,100,1606.429755
78.702527,100,1614.944852
79.822121,100,1623.551722
80.033826,100,1635.527877
80.046285,100,1644.040196
80.98357,100,1652.525506
79.988609,100,1661.045354
81.370107,100,1669.550244
80.966299,100,1678.039159
81.330614,100,1686.63452
80.383654,100,1695.149452
78.440622,100,1703.648346
80.84545,100,1712.129385
80.782027,100,1724.082642
80.698864,100,1732.591187
78.711462,100,1741.137977
81.42484,100,1749.743113
79.767405,100,1758.273567
79.808294,100,1766.783896
79.111617,100,1775.279326
81.200283,100,1783.83071
79.535506,100,1792.335276
80.566569,100,1800.825852
79.708217,100,1812.910916
81.796373,100,1821.406918
80.432977,100,1829.925273
81.113987,100,1838.452891
81.912314,100,1846.95097
80.466278,100,1855.477171
80.734464,100,1863.960887
79.353498,100,1872.500597
78.862235,100,1881.107592
80.1135,100,1889.632708
79.513015,100,1898.110032
79.461178,100,1910.092858
80.537751,100,1918.595563
80.31014,100,1927.102329
79.458413,100,1935.652952
78.485463,100,1944.279143
80.06699,100,1952.760471
79.7258,100,1961.287072
79.047366,100,1969.82466
80.093722,100,1978.351253
80.697896,100,1986.854396
80.86127,100,1998.914518
80.24819,100,2007.431073
80.785472,100,2015.951801
82.103265,100,2024.467104
79.958975,100,2032.959228
78.638572,100,2041.427733
80.16336,100,2049.946387
80.077631,100,2058.447351
79.354353,100,2067.00423
79.87682,100,2075.526648
80.553095,100,2087.489708
79.839858,100,2095.986624
80.513632,100,2104.498596
78.982932,100,2113.048395
80.604518,100,2121.560171
79.832292,100,2130.17642
80.60015,100,2138.697851
78.679494,100,2147.206083
82.02604,100,2155.750831
80.771003,100,2164.242202
80.847869,100,2176.180448
79.981451,100,2184.699138
79.275408,100,2193.326732
80.005792,100,2201.8373
80.021603,100,2210.351454
79.728312,100,2218.871343
80.106764,100,2227.388239
80.181709,100,2235.936982
79.956701,100,2244.442941
80.489328,100,2253.04207
81.712247,100,2261.557987
79.52588,100,2273.544615
80.860435,100,2282.059241
81.154112,100,2290.572749
80.542723,100,2299.108172
80.042476,100,2307.648048
80.63167,100,2316.282987
79.952761,100,2324.830277
80.298261,100,2333.355508
80.953108,100,2341.879571
79.488529,100,2350.401039
79.057388,100,2362.363708
80.354216,100,2370.891439
80.232428,100,2379.490419
81.888414,100,2388.022627
81.803509,100,2396.54196
78.952798,100,2405.04286
80.377882,100,2413.543853
81.216311,100,2422.021171
80.211397,100,2430.585744
78.706727,100,2439.110205
81.347054,100,2451.126225
79.261135,100,2459.686353
80.569043,100,2468.179739
80.768002,100,2476.696861
79.491601,100,2485.248874
80.427664,100,2493.810484
80.44382,100,2502.440267
79.529665,100,2510.950332
79.854691,100,2519.481346
81.180095,100,2527.989292
80.106714,100,2539.955771
81.087279,100,2548.442462
79.318995,100,2556.992822
78.321679,100,2565.612971
80.570402,100,2574.12901
80.040329,100,2582.665628
81.187588,100,2591.158713
80.122913,100,2599.690248
80.839188,100,2608.204439
78.031024,100,2616.758942
81.251575,100,2628.804221
79.669342,100,2637.349452
79.808595,100,2645.865522
80.158394,100,2654.402858
79.066143,100,2662.92174
80.782563,100,2671.424355
79.264884,100,2679.956072
79.355448,100,2688.472385
79.960579,100,2697.06271
80.286215,100,2705.618032
80.275792,100,2714.161877
80.066017,100,2726.103655
79.878757,100,2734.629721
80.581636,100,2743.133831
79.490158,100,2751.641016
80.216055,100,2760.273354
81.342963,100,2768.788278
79.444227,100,2777.326016
80.296649,100,2785.873975
80.959459,100,2794.426203
79.683853,100,2802.965001
80.137714,100,2814.9244
80.399872,100,2823.523079
80.862405,100,2832.054869
79.479395,100,2840.597349
80.760625,100,2849.148015
79.644792,100,2857.699646
81.329533,100,2866.209884
81.596796,100,2874.733156
80.647777,100,2883.295904
79.503475,100,2891.812864
78.107168,100,2903.828524
79.502796,100,2912.349646
78.988511,100,2920.847968
82.356195,100,2929.342874
79.953715,100,2937.857711
81.394913,100,2946.47017
80.32361,100,2955.019324
79.581494,100,2963.559908
79.919077,100,2972.115875
79.595463,100,2980.609448
79.762851,100,2992.689804
78.846615,100,3001.237635
80.926501,100,3009.869475
80.152698,100,3018.405562
79.350287,100,3026.914176
80.272547,100,3035.423622
79.095307,100,3043.974472
80.238194,100,3052.511711
80.618765,100,3061.075055
80.277661,100,3069.712743
81.193463,100,3078.267263
81.373795,100,3090.255419
79.343774,100,3098.794594
79.470485,100,3107.313288
79.379132,100,3115.844405
79.550088,100,3124.356636
79.007441,100,3132.988737
79.369267,100,3141.517009
79.79454,100,3150.020259
79.562773,100,3158.55992
78.475528,100,3167.101976
80.846293,100,3179.064866
80.928047,100,3187.591911
79.051258,100,3196.209374
80.428463,100,3204.760585
79.895727,100,3213.28124
80.892068,100,3221.797999
80.522012,100,3230.344674
79.430212,100,3238.857613
80.572682,100,3247.367312
81.080851,100,3255.907856
81.113194,100,3267.956433
79.335181,100,3276.523737
82.274476,100,3285.011339
80.082285,100,3293.542844
80.394376,100,3302.055389
79.669349,100,3310.550251
