#{"t_start": 1772769487.4385962, "env_id": "None"}
r,l,t
79.488163,100,8.434835
81.650872,100,16.821215
79.526748,100,25.288871
79.443173,100,33.726841
79.044551,100,42.166568
80.143072,100,50.631601
79.419777,100,59.226179
80.885778,100,67.713857
78.922224,100,76.196068
80.07668,100,84.696792
78.934699,100,96.582203
79.706943,100,105.039223
79.649055,100,113.481321
79.922756,100,122.074531
78.361435,100,130.551129
80.091019,100,139.028266
80.920973,100,147.501517
79.186093,100,155.988539
79.670855,100,164.459051
80.93205,100,172.963964
81.041437,100,184.988185
81.29368,100,193.481078
80.539385,100,201.954581
81.080027,100,210.447876
80.163603,100,218.906766
81.320389,100,227.405304
81.520897,100,235.865685
79.714726,100,244.451945
79.885495,100,252.951609
79.511891,100,261.454862
80.217963,100,273.378399
80.364726,100,281.860737
80.352171,100,290.334647
80.415587,100,298.840887
79.24667,100,307.42846
78.477105,100,315.898902
79.373089,100,324.377561
79.569092,100,332.852579
78.883794,100,341.319742
81.648473,100,349.819904
80.460148,100,361.742002
79.90372,100,370.314975
78.9068,100,378.815086
79.929081,100,387.313774
80.30559,100,395.816274
80.832081,100,404.3398
80.038489,100,412.830461
79.614045,100,421.331663
79.982818,100,429.816484
80.623331,100,438.410005
81.567836,100,446.905908
79.872303,100,458.845229
80.494313,100,467.30971
81.826754,100,475.784098
80.00697,100,484.242739
80.649411,100,492.725515
81.2564,100,501.286286
79.373267,100,509.764943
82.0744,100,518.232685
79.998508,100,526.692809
79.096202,100,535.232285
78.879423,100,547.216723
79.835393,100,555.771793
80.83838,100,564.258305
79.802231,100,572.799369
80.094044,100,581.277916
81.878784,100,589.753537
81.169836,100,598.239865
79.83584,100,606.715452
78.913185,100,615.231076
80.012599,100,623.797192
79.453618,100,635.721995
80.215179,100,644.205811
80.343457,100,652.688333
79.614356,100,661.17235
79.557686,100,669.645854
80.747208,100,678.144071
79.032066,100,686.717755
79.106311,100,695.182989
78.927736,100,703.67441
79.340279,100,712.180098
81.463857,100,724.10389
79.508608,100,732.613975
80.501815,100,741.102119
80.528533,100,749.706089
79.534669,100,758.216652
79.960619,100,766.718305
79.820406,100,775.234119
80.070708,100,783.712167
79.980301,100,792.198785
80.170111,100,800.713602
78.634243,100,809.295103
80.069533,100,821.261914
80.300732,100,829.764827
81.180209,100,838.252003
80.913942,100,846.717719
79.666137,100,855.255533
79.615684,100,863.75711
80.723951,100,872.333658
79.918844,100,880.810289
80.139349,100,889.333586
79.833005,100,897.845171
80.1613,100,909.767841
80.017798,100,918.237509
80.046667,100,926.716163
79.898203,100,935.275141
79.77414,100,943.772967
80.223924,100,952.302568
79.094752,100,960.787896
78.030285,100,969.335991
80.570323,100,977.802855
79.343272,100,986.283098
79.495487,100,998.33413
80.634562,100,1006.798746
80.176339,100,1015.299482
80.354784,100,1023.797994
79.050761,100,1032.293978
80.566711,100,1040.747125
79.211426,100,1049.250987
79.511877,100,1057.771762
78.894331,100,1066.365897
79.57859,100,1074.849434
80.898247,100,1086.719909
79.153036,100,1095.21926
79.122752,100,1103.714478
80.425568,100,1112.192076
79.983475,100,1120.782689
79.151586,100,1129.250847
79.258077,100,1137.727275
79.996672,100,1146.229678
80.670079,100,1154.723449
80.37808,100,1163.206464
80.711022,100,1171.727486
80.880025,100,1183.753127
79.069532,100,1192.233872
79.815124,100,1200.762727
80.446071,100,1209.224118
80.383002,100,1217.758903
81.169272,100,1226.293224
79.792031,100,1234.782591
80.013588,100,1243.288963
79.59076,100,1251.873333
78.276875,100,1260.390209
79.996443,100,1272.393127
80.422642,100,1280.885857
80.383662,100,1289.357604
79.270804,100,1297.866631
80.899107,100,1306.363147
80.85759,100,1314.937006
79.167575,100,1323.458561
79.524075,100,1331.986392
81.523258,100,1340.464225
80.274775,100,1348.926202
78.834308,100,1360.877841
80.729543,100,1369.374503
80.522219,100,1377.976162
79.223773,100,1386.495813
80.383755,100,1395.014591
80.970182,100,1403.509214
81.228059,100,1412.011244
79.529265,100,1420.516008
80.358643,100,1429.019058
80.434943,100,1437.646462
79.355962,100,1449.66331
79.303233,100,1458.201976
79.143295,100,1466.737703
78.63499,100,1475.261804
81.067121,100,1483.765719
81.481712,100,1492.271159
78.876683,100,1500.874846
79.970482,100,1509.34557
79.305452,100,1517.851433
80.907971,100,1526.354485
80.711445,100,1534.820321
81.201911,100,1546.778238
80.039802,100,1555.301438
81.550907,100,1563.931206
80.776335,100,1572.432199
79.887897,100,1580.906094
79.632393,100,1589.40924
78.740323,100,1597.93237
79.473682,100,1606.448179
81.04286,100,1614.959369
80.314243,100,1623.566951
81.850881,100,1635.543051
79.839981,100,1644.057016
81.427927,100,1652.541211
80.306758,100,1661.060797
80.710682,100,1669.56566
80.349629,100,1678.055197
81.050802,100,1686.651741
80.888343,100,1695.164548
79.652655,100,1703.660449
80.793089,100,1712.14657
80.941646,100,1724.098276
80.351742,100,1732.611081
81.302462,100,1741.152277
80.221651,100,1749.757656
79.377643,100,1758.290464
80.055497,100,1766.800961
80.810177,100,1775.296518
79.878988,100,1783.845946
79.631531,100,1792.347623
81.912467,100,1800.841778
79.216471,100,1812.927307
79.944009,100,1821.419662
80.659347,100,1829.940211
78.949187,100,1838.46759
81.160253,100,1846.967485
81.203358,100,1855.493055
79.643963,100,1863.976886
80.751619,100,1872.516139
80.372705,100,1881.124217
80.229815,100,1889.647743
81.594044,100,1898.126185
78.954625,100,1910.108225
80.404309,100,1918.609619
81.029721,100,1927.117368
79.805983,100,1935.667678
81.6098,100,1944.292667
80.451067,100,1952.777252
79.147129,100,1961.302733
79.891968,100,1969.838849
80.048903,100,1978.366652
79.399432,100,1986.87061
81.421778,100,1998.930719
79.025937,100,2007.447304
79.888053,100,2015.967718
81.277527,100,2024.484419
79.602528,100,2032.97809
80.776,100,2041.442673
81.118766,100,2049.962241
79.329859,100,2058.460964
80.796238,100,2067.018544
79.535778,100,2075.541225
79.459432,100,2087.503212
79.854139,100,2096.000991
80.69292,100,2104.517182
79.897001,100,2113.063142
78.813853,100,2121.580256
80.757066,100,2130.190961
80.011559,100,2138.712101
80.00507,100,2147.222121
78.664376,100,2155.767903
81.14982,100,2164.258373
79.263322,100,2176.192048
81.468364,100,2184.714792
80.49013,100,2193.342954
79.361713,100,2201.851289
80.018607,100,2210.36653
80.142349,100,2218.883178
79.517708,100,2227.402955
79.893958,100,2235.951846
81.139106,100,2244.456298
79.828672,100,2253.058256
78.491588,100,2261.571079
80.174382,100,2273.559762
79.052754,100,2282.074646
79.729321,100,2290.588429
80.183362,100,2299.124706
80.013751,100,2307.664434
79.259195,100,2316.298396
81.179281,100,2324.846727
82.347755,100,2333.370303
79.752606,100,2341.89313
79.090642,100,2350.417081
80.81487,100,2362.377744
79.403593,100,2370.908209
79.347849,100,2379.503222
80.590729,100,2388.036075
79.759123,100,2396.557275
78.750571,100,2405.058961
80.816536,100,2413.559802
79.971925,100,2422.03743
79.057889,100,2430.601677
78.716342,100,2439.125753
80.827327,100,2451.140794
79.400514,100,2459.700274
79.600394,100,2468.192823
80.212665,100,2476.713531
81.267916,100,2485.262781
78.887092,100,2493.825381
79.754951,100,2502.455089
80.45636,100,2510.967618
80.63877,100,2519.495867
80.232512,100,2528.004158
79.25816,100,2539.967183
80.677235,100,2548.458588
80.889975,100,2557.008464
80.514722,100,2565.627375
80.699796,100,2574.146938
80.074687,100,2582.678998
81.533685,100,2591.173103
79.595737,100,2599.705377
80.17483,100,2608.219915
79.894061,100,2616.772753
79.088825,100,2628.819188
78.568581,100,2637.362885
79.62569,100,2645.87964
80.254784,100,2654.419563
78.948853,100,2662.938209
78.708741,100,2671.440731
80.474502,100,2679.971451
79.324914,100,2688.487462
81.402653,100,2697.076459
79.789822,100,2705.63389
80.486757,100,2714.177002
81.502515,100,2726.118243
79.732174,100,2734.643354
80.51177,100,2743.149615
79.736571,100,2751.657102
80.192998,100,2760.289159
80.163367,100,2768.803289
80.285221,100,2777.342716
78.511508,100,2785.888904
81.406786,100,2794.43989
78.701078,100,2802.981545
78.07765,100,2814.941119
80.868992,100,2823.537383
80.027534,100,2832.068244
79.476547,100,2840.611389
78.143504,100,2849.16352
78.283155,100,2857.714255
81.120407,100,2866.222663
80.801633,100,2874.748919
81.738273,100,2883.313326
81.219624,100,2891.827805
80.276259,100,2903.846559
80.331373,100,2912.364556
81.449261,100,2920.864201
79.991427,100,2929.359127
79.150209,100,2937.872721
80.407981,100,2946.48815
80.411677,100,2955.036305
79.519866,100,2963.57466
80.796589,100,2972.13071
80.477348,100,2980.622939
78.374923,100,2992.704648
82.470666,100,3001.254367
80.85574,100,3009.884231
79.945955,100,3018.420708
80.896308,100,3026.92781
81.117332,100,3035.437443
80.351875,100,3043.989931
79.590898,100,3052.525571
80.792214,100,3061.089159
79.454675,100,3069.7298
81.038465,100,3078.282759
80.453713,100,3090.27104
80.04452,100,3098.809552
80.65689,100,3107.33025
79.950127,100,3115.858321
80.065106,100,3124.374072
79.629235,100,3133.002735
80.244533,100,3141.531902
82.080206,100,3150.035334
81.215272,100,3158.574332
79.939364,100,3167.119667
80.297387,100,3179.079688
80.337913,100,3187.608338
79.976632,100,3196.224931
79.961183,100,3204.776214
81.351318,100,3213.298387
79.949028,100,3221.811953
78.762494,100,3230.360783
81.842508,100,3238.873881
80.716143,100,3247.382277
80.699192,100,3255.922401
79.595302,100,3267.971753
81.400917,100,3276.537624
79.269748,100,3285.027105
79.174574,100,3293.55608
80.891849,100,3302.071292
79.968696,100,3310.566414
80.901442,100,3319.130455
80.394616,100,3327.772013
81.016599,100,3336.297317
80.165777,100,3344.809863
80.297237,100,3356.797124
78.991437,100,3365.34239
80.049457,100,3373.901876
80.992713,100,3382.441461
80.415794,100,3391.058612
78.679692,100,3399.601197
80.267945,100,3408.133011
80.05256,100,3416.700271
78.839994,100,3425.213965
79.578156,100,3433.717959
79.054059,100,3442.225003
82.12019,100,3454.27853
80.720164,100,3462.816828
79.722078,100,3471.367637
80.800991,100,3479.919239
81.08605,100,3488.465933
80.443224,100,3497.021206
79.360202,100,3505.542178
82.070074,100,3514.11761
78.162341,100,3522.663641
79.795925,100,3531.177165
80.304571,100,3543.124252
81.568375,100,3551.64412
80.545943,100,3560.174177
79.584259,100,3568.695486
79.779901,100,3577.330226
78.063357,100,3585.867573
79.094444,100,3594.405938
80.921514,100,3602.957557
79.123047,100,3611.498795
79.710814,100,3620.068702
80.330651,100,3632.045861
80.738443,100,3640.664829
80.085195,100,3649.186362
78.997762,100,3657.72337
79.539887,100,3666.262279
79.922879,100,3674.802253
79.269221,100,3683.349465
78.815911,100,3691.874137
79.603947,100,3700.508204
80.702181,100,3709.031711
81.221036,100,3721.008775
81.270947,100,3729.507118
82.337728,100,3738.033557
80.546167,100,3746.518995
80.923908,100,3755.059631
80.552495,100,3763.790209
79.353705,100,3772.431394
78.208977,100,3780.994591
80.919863,100,3789.52139
78.737687,100,3798.067425
79.550418,100,3806.604347
80.648917,100,3818.589513
80.223354,100,3827.332966
81.241725,100,3835.871225
80.640827,100,3844.393313
78.281501,100,3852.945533
79.128457,100,3861.505653
79.680192,100,3870.01797
80.37381,100,3878.562413
79.66618,100,3887.102736
80.803944,100,3895.741811
80.48579,100,3907.770746
79.936011,100,3916.256617
79.838518,100,3924.801915
79.610457,100,3933.35011
81.701657,100,3941.852693
80.319255,100,3950.412233
80.14584,100,3959.059407
81.244396,100,3967.588643
80.101737,100,3976.10274
81.549142,100,3984.614786
79.530125,100,3996.542278
78.975891,100,4005.096362
80.155954,100,4013.712947
79.872373,100,4022.240678
80.045329,100,4030.788722
80.618247,100,4039.322967
79.254097,100,4047.866354
80.760074,100,4056.444169
82.180085,100,4064.939229
79.789158,100,4073.482535
80.871032,100,4085.531063
79.872236,100,4094.048188
79.360297,100,4102.649319
80.763548,100,4111.196441
80.315941,100,4119.771194
80.76583,100,4128.323321
79.898004,100,4136.816249
80.53672,100,4145.481826
78.930757,100,4154.00804
79.450591,100,4162.560906
80.688283,100,4171.094216
81.016245,100,4183.059948
79.420659,100,4191.621451
80.852519,100,4200.142343
80.753659,100,4208.753685
79.873206,100,4217.272984
80.16833,100,4225.801366
80.783721,100,4234.319301
81.174682,100,4242.881837
80.068221,100,4251.41024
79.227275,100,4259.926642
80.753903,100,4271.97079
79.857817,100,4280.537953
80.851499,100,4289.091056
79.61083,100,4297.606114
79.830082,100,4306.14382
80.721244,100,4314.686197
79.720276,100,4323.231918
78.710373,100,4331.825119
80.932335,100,4340.342668
81.611148,100,4348.872685
80.280824,100,4360.839202
79.497801,100,4369.398709
81.318944,100,4377.948968
80.08096,100,4386.467234
81.523748,100,4395.105523
78.795998,100,4403.678486
80.57316,100,4412.203763
78.995774,100,4420.768838
80.943257,100,4429.318948
79.471819,100,4437.855588
