#{"t_start": 1772765040.2585194, "env_id": "None"}
r,l,t
78.955811,100,8.451452
80.054086,100,16.930871
79.078082,100,25.395065
80.450374,100,33.840067
81.735304,100,42.280671
80.435751,100,50.828334
80.277812,100,59.319416
80.353263,100,67.779546
79.458008,100,76.242318
80.203842,100,84.724502
79.341331,100,96.642756
81.544731,100,105.09375
80.338739,100,113.628126
78.397791,100,122.089446
79.315381,100,130.563475
79.427668,100,139.045753
79.466172,100,147.570013
81.978513,100,156.069227
80.135351,100,164.581927
79.552662,100,173.176148
81.401382,100,185.110409
80.366242,100,193.591707
80.515082,100,202.059464
80.150028,100,210.540674
80.697151,100,218.993785
80.117683,100,227.488758
80.139981,100,236.061948
80.992357,100,244.564754
80.765495,100,253.036917
81.375293,100,261.50516
79.525603,100,273.443499
79.344528,100,281.924466
79.618384,100,290.417366
82.510731,100,298.997817
81.10122,100,307.49835
79.170276,100,316.002914
79.57839,100,324.477406
79.49414,100,332.962681
79.558884,100,341.451543
80.156575,100,349.968465
82.298753,100,362.007262
80.443993,100,370.473247
80.669954,100,378.931166
81.30212,100,387.399792
79.385922,100,395.893584
80.584707,100,404.368474
79.436863,100,412.886156
79.46173,100,421.476842
82.560253,100,429.922815
79.727229,100,438.430414
80.687606,100,446.892341
82.463355,100,458.836215
79.997748,100,467.320371
82.051971,100,475.79188
81.053124,100,484.383205
82.00007,100,492.884039
79.667496,100,501.380833
81.439095,100,509.89411
81.444039,100,518.351657
79.851852,100,526.795678
80.734791,100,535.295885
80.870504,100,547.355813
80.237256,100,555.822822
81.512478,100,564.280891
80.444049,100,572.80058
80.514519,100,581.306125
79.166251,100,589.833946
81.107162,100,598.325687
80.545082,100,606.770987
79.97146,100,615.343309
78.744076,100,623.848224
81.899867,100,635.740456
80.448083,100,644.259637
79.015226,100,652.755793
80.748423,100,661.248748
80.080568,100,669.815249
81.446506,100,678.325673
78.685989,100,686.791816
80.023969,100,695.253452
80.910728,100,703.729641
80.569605,100,712.204086
79.305012,100,724.154237
79.699163,100,732.726302
78.983705,100,741.182213
79.591405,100,749.697977
80.005268,100,758.219455
78.950456,100,766.692415
80.000148,100,775.144755
79.496761,100,783.626529
79.116049,100,792.119173
80.509353,100,800.718447
79.250762,100,809.233802
80.597681,100,821.207063
80.083951,100,829.700981
80.154158,100,838.188283
81.461355,100,846.675957
80.798694,100,855.172076
80.44625,100,863.732636
81.134183,100,872.227253
81.233665,100,880.702772
80.871472,100,889.162595
78.858978,100,897.63729
80.678847,100,909.610771
80.138185,100,918.105384
80.943643,100,926.708032
79.713473,100,935.215266
80.079696,100,943.732457
78.728286,100,952.260329
79.927453,100,960.774322
80.750688,100,969.258635
80.240411,100,977.750254
79.147367,100,986.318215
79.638575,100,998.244738
81.12564,100,1006.788963
78.291897,100,1015.561414
80.552897,100,1024.090416
79.758321,100,1032.58918
80.422812,100,1041.104256
79.463753,100,1049.697597
80.08475,100,1058.173661
80.703809,100,1066.691474
80.338084,100,1075.291526
79.231207,100,1087.205356
80.275797,100,1095.705163
81.808275,100,1104.160205
81.598109,100,1112.774718
78.891675,100,1121.231016
79.979376,100,1129.725307
80.468266,100,1138.231635
77.97084,100,1146.77275
80.704674,100,1155.230133
81.21224,100,1163.71434
80.710063,100,1172.312261
80.590538,100,1184.324501
80.009489,100,1192.851522
80.611579,100,1201.360682
79.842244,100,1209.860236
79.132937,100,1218.322556
79.760937,100,1226.811908
79.366876,100,1235.427722
79.814596,100,1243.924478
80.379732,100,1252.438988
78.742388,100,1260.934322
80.713601,100,1272.956291
80.146496,100,1281.424425
79.805379,100,1289.937702
79.488443,100,1298.530954
80.850861,100,1307.062433
79.542454,100,1315.553831
80.730094,100,1324.082065
80.317927,100,1332.567814
79.484273,100,1341.044317
78.245271,100,1349.527228
78.579826,100,1361.524625
78.872887,100,1370.030566
80.909469,100,1378.561582
79.329808,100,1387.050381
79.780969,100,1395.551209
80.566373,100,1404.077278
78.880186,100,1412.525394
79.55499,100,1421.026044
79.71235,100,1429.62058
80.648088,100,1438.089472
79.473215,100,1450.108479
79.652876,100,1458.58173
78.734238,100,1467.0992
79.591617,100,1475.577914
78.824683,100,1484.080147
81.996864,100,1492.693452
80.407552,100,1501.322251
