#{"t_start": 1772765040.2539577, "env_id": "None"}
r,l,t
80.553608,100,8.456089
79.426776,100,16.9365
80.148945,100,25.398002
81.812517,100,33.845082
81.596481,100,42.285356
80.543182,100,50.829728
81.106817,100,59.324057
81.303729,100,67.78337
80.457912,100,76.249441
78.841356,100,84.728093
78.561602,100,96.646469
81.145586,100,105.097853
80.166226,100,113.632248
80.615835,100,122.092415
79.990108,100,130.56938
79.337023,100,139.050028
78.942104,100,147.574647
82.366462,100,156.072553
78.336038,100,164.58552
79.601233,100,173.181294
79.224219,100,185.116847
80.06591,100,193.594407
79.11001,100,202.06256
79.385773,100,210.548342
79.708057,100,218.998565
78.849455,100,227.494819
80.045335,100,236.065806
79.266587,100,244.57404
81.070052,100,253.042213
80.75382,100,261.510217
81.024187,100,273.44839
80.811495,100,281.927679
81.511775,100,290.418848
80.66163,100,299.001201
80.3506,100,307.503747
78.451933,100,316.006335
80.943003,100,324.482044
78.702688,100,332.969859
79.086824,100,341.455747
80.022542,100,349.971562
79.813173,100,362.009016
79.299679,100,370.475898
80.625185,100,378.936779
79.508135,100,387.403913
80.041241,100,395.896152
81.299525,100,404.373156
78.711198,100,412.888911
81.011495,100,421.48343
79.789875,100,429.92462
80.619498,100,438.433086
80.605029,100,446.895162
79.223337,100,458.840429
79.119658,100,467.321054
79.81786,100,475.796416
79.255193,100,484.390316
79.966496,100,492.887783
80.00922,100,501.384601
80.061045,100,509.897468
79.098519,100,518.354224
79.614581,100,526.798791
79.894983,100,535.299645
82.682347,100,547.358186
80.024937,100,555.828768
79.749205,100,564.28283
80.683526,100,572.80402
79.420301,100,581.309577
81.746706,100,589.838171
79.561601,100,598.33056
79.713173,100,606.778805
79.440447,100,615.347594
78.995361,100,623.853975
81.068976,100,635.746835
80.738397,100,644.262953
82.256629,100,652.760523
78.714976,100,661.252288
80.392251,100,669.819361
81.577852,100,678.328696
80.098268,100,686.795643
79.990174,100,695.261562
80.095948,100,703.734079
80.349982,100,712.208098
79.418447,100,724.158211
80.226736,100,732.730684
79.953698,100,741.18432
80.443174,100,749.703372
80.74519,100,758.224233
79.38358,100,766.695745
80.598478,100,775.151493
77.34393,100,783.629931
81.089661,100,792.123561
80.224572,100,800.721704
80.385532,100,809.236803
78.917621,100,821.213607
81.212895,100,829.706759
78.982311,100,838.192027
79.805378,100,846.680298
79.527296,100,855.179622
79.768109,100,863.736804
78.84214,100,872.230737
79.744226,100,880.709408
79.270819,100,889.167214
81.185178,100,897.642092
80.264903,100,909.615054
81.398424,100,918.108902
80.412087,100,926.71076
80.596282,100,935.218228
79.670133,100,943.737209
80.460104,100,952.263438
78.945034,100,960.779382
80.918487,100,969.265854
80.104874,100,977.754461
78.886783,100,986.321186
80.714603,100,998.248836
80.949307,100,1006.793848
80.461142,100,1015.565496
79.522064,100,1024.096634
80.449663,100,1032.58983
80.416898,100,1041.108824
79.618462,100,1049.704186
79.698221,100,1058.179439
78.659327,100,1066.698719
82.094036,100,1075.296949
79.393642,100,1087.207468
79.867951,100,1095.709882
79.195893,100,1104.165977
80.854506,100,1112.779739
80.484496,100,1121.236142
80.178211,100,1129.72962
81.257071,100,1138.23709
80.214778,100,1146.781753
81.004886,100,1155.235541
80.579295,100,1163.720954
80.282052,100,1172.318822
79.085896,100,1184.329461
79.241441,100,1192.856645
79.206178,100,1201.365884
79.364208,100,1209.863814
79.981757,100,1218.328038
79.692754,100,1226.816631
78.871676,100,1235.433649
80.152393,100,1243.929432
81.140737,100,1252.440847
80.075741,100,1260.940254
79.964825,100,1272.964245
78.825513,100,1281.429649
80.888359,100,1289.94385
78.928708,100,1298.533819
80.824191,100,1307.066452
80.841175,100,1315.556616
79.661758,100,1324.084831
80.884289,100,1332.572291
80.367766,100,1341.051829
80.380338,100,1349.531957
81.309549,100,1361.529412
79.985331,100,1370.035928
80.561095,100,1378.564578
81.328048,100,1387.05461
80.132173,100,1395.555557
79.984049,100,1404.082773
80.586921,100,1412.528188
79.238044,100,1421.032067
79.391687,100,1429.62437
80.479704,100,1438.096004
81.68001,100,1450.113822
79.560242,100,1458.590875
81.7841,100,1467.101073
80.733409,100,1475.582038
80.645339,100,1484.084442
81.019865,100,1492.69457
79.784154,100,1501.327056
79.328341,100,1509.913467
80.354013,100,1518.452904
80.346674,100,1526.995173
79.837968,100,1535.514855
79.672769,100,1547.449657
81.4487,100,1556.028172
79.622951,100,1564.542243
78.622243,100,1573.046379
80.627179,100,1581.511402
80.857671,100,1590.01853
80.563492,100,1598.535537
78.967818,100,1607.030432
80.309435,100,1615.61975
79.282281,100,1624.123436
81.686749,100,1636.08903
81.097951,100,1644.596954
79.147925,100,1653.074918
80.638232,100,1661.579167
79.904944,100,1670.072346
79.846328,100,1678.648702
79.747728,100,1687.143735
80.09505,100,1695.638036
79.975623,100,1704.133622
79.459831,100,1712.639416
80.795556,100,1724.623618
80.360157,100,1733.111857
79.530311,100,1741.690418
79.605594,100,1750.194705
81.081641,100,1758.676471
80.246022,100,1767.194801
77.869683,100,1775.698111
79.831952,100,1784.217109
80.934752,100,1792.75237
80.719082,100,1801.348184
80.98525,100,1813.282984
78.686208,100,1821.788817
79.993045,100,1830.281276
80.87813,100,1838.785653
80.441048,100,1847.317292
80.585127,100,1855.837547
80.058362,100,1864.440337
80.048839,100,1872.921737
79.785313,100,1881.429886
80.697415,100,1889.918581
78.278174,100,1898.420444
79.830866,100,1910.350538
80.195024,100,1918.827016
78.44404,100,1927.426691
81.374977,100,1935.900486
79.715213,100,1944.417923
80.027813,100,1952.923702
80.847535,100,1961.437346
