#{"t_start": 1772765040.2547529, "env_id": "None"}
r,l,t
79.372914,100,8.456234
80.779317,100,16.93676
80.618401,100,25.398832
80.796343,100,33.846325
79.959624,100,42.282068
79.594637,100,50.833486
79.312539,100,59.321839
79.51633,100,67.782558
79.460167,100,76.243887
81.099993,100,84.728508
80.143731,100,96.645674
80.443524,100,105.097835
79.991018,100,113.631489
80.772506,100,122.091577
79.330744,100,130.568467
79.916928,100,139.050933
79.751522,100,147.57396
80.751873,100,156.072095
79.422984,100,164.58483
80.762141,100,173.179681
78.322835,100,185.114571
79.74441,100,193.595766
81.76778,100,202.062456
79.025497,100,210.54542
79.955705,100,218.997689
80.504352,100,227.490792
82.558534,100,236.065472
80.588655,100,244.571598
81.715452,100,253.040819
80.716047,100,261.508991
81.038185,100,273.4477
79.909877,100,281.927761
79.65462,100,290.421209
80.058649,100,299.000339
80.115757,100,307.502458
77.528821,100,316.005697
82.103517,100,324.480212
80.090006,100,332.966704
79.862378,100,341.45493
79.410897,100,349.973174
79.368923,100,362.011373
79.501412,100,370.477982
79.540703,100,378.935496
80.703872,100,387.406119
81.077153,100,395.897008
80.663162,100,404.371912
79.992026,100,412.888452
81.068742,100,421.482444
79.739212,100,429.926151
81.012583,100,438.434561
80.401014,100,446.897103
80.359284,100,458.841102
81.005298,100,467.321978
80.08455,100,475.795449
80.763378,100,484.389119
79.853711,100,492.885667
82.304814,100,501.384194
82.521997,100,509.89825
79.896274,100,518.354213
78.985067,100,526.795926
81.55252,100,535.298696
79.484405,100,547.359894
80.019201,100,555.824803
79.40374,100,564.284739
80.801182,100,572.801969
80.609874,100,581.309603
80.243538,100,589.8376
78.509545,100,598.328821
79.960921,100,606.777352
79.420351,100,615.343621
80.865873,100,623.853254
80.433397,100,635.744951
79.73452,100,644.262317
79.631941,100,652.757958
80.918948,100,661.251194
80.108024,100,669.818214
82.448534,100,678.331566
79.442875,100,686.796345
80.632926,100,695.262244
78.946579,100,703.731474
80.992309,100,712.20511
80.291772,100,724.158223
80.624985,100,732.729909
80.188043,100,741.184906
80.244748,100,749.701116
80.210796,100,758.224271
80.108513,100,766.697729
81.458237,100,775.150575
80.593347,100,783.631166
78.024124,100,792.124946
81.430047,100,800.725089
81.710911,100,809.237638
80.449937,100,821.212348
81.780082,100,829.705806
80.479326,100,838.192222
80.132647,100,846.681604
79.484923,100,855.178397
80.713596,100,863.736738
79.378919,100,872.229757
79.400954,100,880.704136
80.494944,100,889.165041
79.7513,100,897.642538
79.029866,100,909.614761
78.645535,100,918.107762
80.954576,100,926.711593
79.704033,100,935.218561
80.933291,100,943.737428
80.255457,100,952.263809
81.635469,100,960.778233
79.314386,100,969.264653
79.755789,100,977.753653
80.953771,100,986.321342
78.981283,100,998.248717
80.763913,100,1006.792161
81.082281,100,1015.564805
80.186444,100,1024.095526
79.72231,100,1032.591713
79.275393,100,1041.10959
80.053349,100,1049.701013
79.129437,100,1058.177775
81.340617,100,1066.697286
81.427652,100,1075.294293
79.874592,100,1087.206695
79.945624,100,1095.708859
80.255378,100,1104.165416
78.925076,100,1112.779236
80.6579,100,1121.234951
78.402895,100,1129.729896
79.230395,100,1138.23744
79.796132,100,1146.779807
80.573122,100,1155.234105
78.923063,100,1163.720855
79.27342,100,1172.317154
80.234566,100,1184.327656
79.901649,100,1192.854733
80.385886,100,1201.36436
81.002626,100,1209.864413
79.805166,100,1218.322683
80.289608,100,1226.816076
79.029219,100,1235.433671
80.48515,100,1243.929612
79.355661,100,1252.442377
78.640961,100,1260.935984
81.225898,100,1272.963772
80.274424,100,1281.427807
80.655203,100,1289.943597
78.899728,100,1298.535306
80.58209,100,1307.066046
79.869229,100,1315.557328
79.631535,100,1324.082661
79.826519,100,1332.571139
80.78709,100,1341.049887
80.119405,100,1349.530352
80.254173,100,1361.52867
80.85133,100,1370.034123
81.571601,100,1378.565264
