#{"t_start": 1772765040.2558963, "env_id": "None"}
r,l,t
80.216444,100,8.454345
80.146938,100,16.933862
79.11029,100,25.397028
79.819052,100,33.841446
80.518673,100,42.282855
80.473678,100,50.831611
79.867198,100,59.322073
81.910401,100,67.781473
79.742476,100,76.245924
79.494546,100,84.726671
81.283488,100,96.644255
80.668026,100,105.096285
79.571567,100,113.628678
81.817416,100,122.090351
79.836039,100,130.565825
80.097696,100,139.050296
78.500217,100,147.573604
80.9434,100,156.072086
81.837724,100,164.582677
81.404272,100,173.17727
79.926509,100,185.113547
80.562962,100,193.59491
79.884212,100,202.062376
79.261799,100,210.543696
78.461334,100,218.997769
79.527214,100,227.492445
80.512037,100,236.063575
80.163379,100,244.568935
81.807964,100,253.040429
81.061929,100,261.506069
79.643461,100,273.447922
79.559354,100,281.926915
79.069076,100,290.417686
81.046573,100,299.000346
80.18684,100,307.50121
80.451671,100,316.002401
78.879878,100,324.480337
79.151086,100,332.966249
80.050023,100,341.453346
80.395384,100,349.96976
79.506932,100,362.00988
78.819459,100,370.477046
80.448353,100,378.93505
80.111751,100,387.404665
79.948656,100,395.895502
79.388382,100,404.372047
79.053782,100,412.890084
80.882082,100,421.481365
79.919765,100,429.924891
80.294614,100,438.430922
79.937236,100,446.899233
80.12702,100,458.838305
80.227574,100,467.320282
79.7017,100,475.796155
80.106573,100,484.388858
80.55463,100,492.883204
81.060034,100,501.383287
78.7478,100,509.895057
78.158879,100,518.354174
81.209902,100,526.796348
80.453221,100,535.297323
79.708131,100,547.358448
79.333259,100,555.824883
79.541542,100,564.282836
80.084459,100,572.802152
82.285111,100,581.308662
78.991242,100,589.838644
80.983826,100,598.328529
79.242877,100,606.776935
79.748039,100,615.346138
80.767597,100,623.852803
79.417146,100,635.744665
78.699541,100,644.262003
79.191261,100,652.757493
80.136861,100,661.250146
80.688822,100,669.81735
80.880492,100,678.328305
80.790464,100,686.796307
80.921718,100,695.261114
80.258196,100,703.72937
80.563631,100,712.20605
80.197586,100,724.155718
79.126508,100,732.730552
78.908666,100,741.184286
80.615446,100,749.700284
80.767908,100,758.222706
80.673159,100,766.697125
80.02974,100,775.14756
78.502742,100,783.628452
