#{"t_start": 1772773937.6586757, "env_id": "None"}
r,l,t
79.281706,100,8.636226
81.630429,100,17.071886
79.370691,100,25.536205
79.486411,100,33.991497
81.159525,100,42.408936
77.929328,100,50.870827
81.660519,100,59.333774
79.577695,100,67.78177
79.732566,100,76.331811
80.651533,100,84.776964
78.177102,100,96.6864
80.057892,100,105.148994
79.507499,100,113.617468
80.050209,100,122.100796
78.63169,100,130.675796
79.513949,100,139.118381
80.313722,100,147.583335
81.933707,100,156.074456
79.939248,100,164.524825
81.39366,100,173.000676
81.12207,100,184.91288
80.893896,100,193.460265
79.619787,100,201.913121
79.565493,100,210.38512
79.061331,100,218.841383
78.991642,100,227.272844
79.882253,100,235.746206
79.150252,100,244.219459
80.738929,100,252.649809
80.624436,100,261.220028
80.170776,100,273.192341
79.523992,100,281.623195
79.17761,100,290.082662
80.735841,100,298.567283
81.170131,100,307.028601
80.758481,100,315.514327
79.126476,100,324.077862
80.129863,100,332.535321
81.745484,100,341.012475
80.110557,100,349.49811
80.235361,100,361.426488
79.718252,100,369.888929
78.59469,100,378.391565
81.051895,100,386.954452
78.932029,100,395.430416
80.153733,100,403.945565
79.113289,100,412.427625
79.726576,100,420.912728
80.133383,100,429.405924
80.665773,100,437.885055
81.559477,100,446.447427
78.675034,100,458.367248
79.733895,100,466.855993
79.208325,100,475.390004
78.184476,100,483.83361
79.892109,100,492.31941
80.864962,100,500.787201
80.42032,100,509.362775
80.830642,100,517.862601
79.247949,100,526.363169
78.846398,100,534.879198
80.182912,100,546.771258
80.06395,100,555.253644
80.967997,100,563.728464
80.563749,100,572.236469
81.037057,100,580.736426
79.099396,100,589.200267
80.526164,100,597.666231
79.997196,100,606.150635
80.631371,100,614.647564
79.485053,100,623.174257
81.555104,100,635.145803
80.416294,100,643.630971
79.597721,100,652.116642
80.662215,100,660.595471
80.95623,100,669.099077
79.294026,100,677.58511
80.003981,100,686.040028
78.55523,100,694.628445
79.545729,100,703.130779
79.639722,100,711.618061
81.302459,100,723.543786
80.431588,100,732.025405
79.461738,100,740.52505
80.154201,100,749.016819
80.576842,100,757.565744
81.543342,100,766.051326
79.548715,100,774.517071
80.557603,100,783.011311
80.223568,100,791.480489
79.110092,100,799.9623
79.712758,100,808.431789
81.008937,100,820.507868
80.14185,100,829.00549
78.753863,100,837.504718
80.526857,100,845.993552
81.64505,100,854.476039
78.533812,100,863.000302
80.223077,100,871.508266
79.965684,100,879.986573
80.581676,100,888.52436
81.088633,100,896.996436
79.076769,100,908.987142
81.051681,100,917.528246
81.010249,100,925.984294
80.548593,100,934.460025
79.80893,100,942.935773
79.249008,100,951.531183
79.792549,100,960.026976
79.439507,100,968.481013
79.762491,100,976.951442
78.510017,100,985.468842
80.739812,100,997.438292
80.34974,100,1005.879615
81.313322,100,1014.409142
79.457362,100,1022.891227
81.066378,100,1031.340054
77.944715,100,1039.829726
81.108298,100,1048.310648
80.976847,100,1056.806712
79.259738,100,1065.303468
78.648007,100,1073.855366
81.643963,100,1085.799003
81.21272,100,1094.304347
80.515556,100,1102.812515
79.984459,100,1111.334448
78.70862,100,1119.811473
79.509953,100,1128.283278
80.316516,100,1136.884097
81.094851,100,1145.322182
79.516787,100,1153.837823
79.602379,100,1162.352407
78.467036,100,1170.880041
81.674264,100,1182.824276
79.061853,100,1191.309111
80.37078,100,1199.883517
79.308264,100,1208.384925
79.783117,100,1216.8883
78.78383,100,1225.399939
80.635418,100,1233.912297
80.342071,100,1242.436172
79.491259,100,1250.960545
80.601626,100,1259.542658
80.127645,100,1271.486679
80.764475,100,1279.956618
79.906409,100,1288.507673
79.81527,100,1297.003238
81.166592,100,1305.479596
80.19923,100,1313.985805
79.512085,100,1322.59692
80.062308,100,1331.135012
81.539117,100,1339.610997
79.968713,100,1348.099144
79.027368,100,1360.066535
81.202272,100,1368.556651
81.493296,100,1377.065452
79.281368,100,1385.657749
78.315753,100,1394.153328
78.792364,100,1402.668318
82.002328,100,1411.13134
81.673211,100,1419.589158
80.562985,100,1428.105904
80.779711,100,1436.586683
79.573262,100,1448.593697
80.214096,100,1457.11845
78.515783,100,1465.59419
80.230262,100,1474.09897
79.452918,100,1482.616612
80.006619,100,1491.120707
80.49676,100,1499.580398
79.256061,100,1508.060237
80.464836,100,1516.633309
80.597127,100,1525.064408
79.525435,100,1533.557225
79.858276,100,1545.474193
79.233798,100,1553.981717
81.165395,100,1562.419775
80.098373,100,1570.924727
80.612785,100,1579.503412
80.212869,100,1588.010909
81.584282,100,1596.493127
79.786806,100,1604.962827
79.739998,100,1613.473492
80.751922,100,1622.001258
79.344711,100,1633.96962
79.370747,100,1642.565539
81.083761,100,1651.049991
81.067969,100,1659.506621
80.327116,100,1667.992964
79.83352,100,1676.477573
81.229602,100,1684.935828
80.454577,100,1693.456642
80.940783,100,1702.038095
78.725269,100,1710.547074
79.912569,100,1722.490199
80.020313,100,1730.948199
79.977875,100,1739.452432
79.954708,100,1747.991273
78.443874,100,1756.52401
80.592361,100,1765.121562
79.54484,100,1773.600876
79.478782,100,1782.107132
79.961241,100,1790.64055
80.171996,100,1799.113093
82.283903,100,1811.068902
80.301862,100,1819.57872
80.449015,100,1828.169738
79.551204,100,1836.637548
80.017077,100,1845.166392
80.916063,100,1853.663572
80.027173,100,1862.216183
81.823525,100,1870.787332
82.008607,100,1879.287337
81.463535,100,1887.853302
79.827701,100,1896.386189
79.938829,100,1908.371789
80.20049,100,1916.889234
79.959124,100,1925.375738
80.416537,100,1933.873456
80.672639,100,1942.362772
79.172109,100,1950.965232
80.373852,100,1959.43381
79.70579,100,1967.934492
79.070873,100,1976.460229
79.489488,100,1984.939426
80.040045,100,1996.801381
79.41896,100,2005.320811
