#{"t_start": 1772773937.766994, "env_id": "None"}
r,l,t
79.288276,100,8.528719
80.386919,100,16.961772
78.310625,100,25.428013
80.233417,100,33.884922
81.013306,100,42.303514
81.383749,100,50.760357
79.361339,100,59.227297
80.394197,100,67.671192
80.825182,100,76.222676
80.980937,100,84.667039
80.409682,100,96.575792
80.31022,100,105.043228
80.940073,100,113.512552
79.563756,100,121.993374
79.565284,100,130.566465
80.512512,100,139.010234
80.681197,100,147.47607
79.438712,100,155.968837
80.382127,100,164.414966
80.12271,100,172.889371
79.691425,100,184.805833
79.88483,100,193.354057
81.215773,100,201.804316
78.749041,100,210.27602
78.940664,100,218.72874
80.903623,100,227.166108
79.402014,100,235.641418
79.25815,100,244.109111
80.62389,100,252.543999
79.995492,100,261.113416
76.933699,100,273.084021
80.507831,100,281.513816
80.586534,100,289.974721
79.217984,100,298.460567
81.263655,100,306.918913
80.57232,100,315.406801
79.908138,100,323.969282
81.239926,100,332.426618
79.530936,100,340.906099
80.785381,100,349.389359
78.569526,100,361.319635
78.307224,100,369.780312
82.384559,100,378.281496
80.814099,100,386.846108
79.793292,100,395.324489
79.447872,100,403.836938
79.24514,100,412.319927
80.886207,100,420.804696
81.318018,100,429.297206
80.198284,100,437.778325
79.234507,100,446.339084
80.683445,100,458.260997
81.266527,100,466.749
78.972859,100,475.283158
81.672098,100,483.724699
78.675371,100,492.210598
80.537421,100,500.678807
80.413908,100,509.254641
80.780079,100,517.755671
80.930986,100,526.256563
81.452183,100,534.771367
80.907162,100,546.662969
80.633777,100,555.146492
80.757456,100,563.620873
78.541463,100,572.132376
78.183697,100,580.628067
79.383656,100,589.094421
81.045262,100,597.557848
79.597204,100,606.042127
78.757518,100,614.539179
80.777889,100,623.06357
80.231954,100,635.036575
79.771301,100,643.524302
80.41637,100,652.008344
81.372279,100,660.487835
79.689323,100,668.989843
79.901495,100,677.477907
81.015695,100,685.934
79.172073,100,694.51621
81.894479,100,703.019841
78.151191,100,711.512651
79.715335,100,723.436804
77.797652,100,731.917153
81.204784,100,740.41756
81.343148,100,748.909697
80.434114,100,757.457641
80.163685,100,765.938519
80.457538,100,774.409534
79.154412,100,782.902865
81.713537,100,791.373907
80.183795,100,799.853688
81.034891,100,808.3248
80.518677,100,820.398968
81.679766,100,828.897486
80.685019,100,837.397745
80.233718,100,845.88352
79.513354,100,854.369481
79.824463,100,862.893001
81.526479,100,871.402056
80.525289,100,879.880934
80.428082,100,888.415868
80.248761,100,896.888328
81.654722,100,908.878406
79.911016,100,917.422061
79.891497,100,925.876557
80.513314,100,934.353776
79.670379,100,942.829219
81.257481,100,951.42143
78.689005,100,959.916837
80.003675,100,968.374404
80.097722,100,976.844064
81.056366,100,985.360093
79.732889,100,997.328177
79.567084,100,1005.773187
80.142799,100,1014.302975
81.217027,100,1022.78273
79.436567,100,1031.233301
79.364475,100,1039.722217
80.037896,100,1048.204499
80.013045,100,1056.70162
80.311325,100,1065.196044
79.621278,100,1073.744485
79.580388,100,1085.690672
80.793651,100,1094.194568
79.321607,100,1102.704651
80.315036,100,1111.22693
81.002785,100,1119.703714
80.660233,100,1128.176488
80.543354,100,1136.776707
81.465068,100,1145.213458
80.474233,100,1153.729146
80.084334,100,1162.245717
79.975142,100,1170.771688
81.17524,100,1182.716195
82.316646,100,1191.201924
79.272939,100,1199.774062
79.218452,100,1208.275586
79.53654,100,1216.778288
81.002849,100,1225.291671
80.868454,100,1233.802075
79.139148,100,1242.329314
